"name","url","poem"
"17-70mm F2.8-4 DC MACRO OS HSM","https://www.sigma-global.com/jp/lenses/cas/product/contemporary/c_17_70_28_4/","常用域の焦点距離をすべてカバー、 本格的なマクロ撮影も可能に。 高性能、コンパクト。 APS-C用大口径標準ズームレンズの決定版。"
"18-200mm F3.5-6.3 DC MACRO OS HSM","https://www.sigma-global.com/jp/lenses/cas/product/contemporary/c_18_200_35_63/","全域で高い光学性能を発揮する高倍率標準ズーム。 高画素時代の超小型オールインワンレンズの決定版。"
"18-300mm F3.5-6.3 DC MACRO OS HSM","https://www.sigma-global.com/jp/lenses/cas/product/contemporary/c_18_300_35_63/","FLDガラスを4枚採用、 光学性能を優先した16.6倍高倍率ズームレンズ"
"100-400mm F5-6.3 DG OS HSM","https://www.sigma-global.com/jp/lenses/cas/product/contemporary/c_100_400_5_63/","超望遠ズームの新しい選択肢、 「ライト・バズーカ」誕生"
"150-600mm F5-6.3 DG OS HSM","https://www.sigma-global.com/jp/lenses/cas/product/contemporary/c_150_600_5_63/","高い操作性と光学性能を備えた超望遠ズームのライトウェイトモデル。 Contemporaryラインから、登場。"
"16mm F1.4 DC DN","https://www.sigma-global.com/jp/lenses/cas/product/contemporary/c_16_14/","ミラーレスに新たなソリューションを。 F1.4とコンパクトネスを両立したシリーズの第2弾。 高性能大口径広角レンズ、登場。"
"30mm F1.4 DC DN","https://www.sigma-global.com/jp/lenses/cas/product/contemporary/c_30_14/","光学性能とコンパクトネスを高次元で両立。 ミラーレスのための大口径F1.4スタンダードレンズ、登場。"
"56mm F1.4 DC DN","https://www.sigma-global.com/jp/lenses/cas/product/contemporary/c_56_14/","小型軽量かつ高画質を実現したAPS-C用中望遠レンズ"
"18-35mm F1.8 DC HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_18_35_18/","世界初、ズーム全域で開放値F1.8を実現した APS-C用大口径標準ズームレンズ、誕生。 またひとつ、新しいスタンダードを、シグマから。"
"50-100mm F1.8 DC HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_50_100_18/","開放値F1.8、APS-Cセンサー用 ズームレンズの第２弾。"
"30mm F1.4 DC HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_30_14/","アーティスティック・マインドを刺激する 開放値F1.4、APS-C用 大口径標準レンズの会心作。"
"12-24mm F4 DG HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_12_24_4/","最高性能を追求して生まれた超広角12mmの、 「ゼロ・ディストーション」の世界"
"14-24mm F2.8 DG HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_14_24_28/","「ゼロ・ディストーション」の14mmから始まる 究極の大口径ズームレンズ、登場。"
"24-35mm F2 DG HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_24_35_2/","世界初、開放F値２のフルサイズ用 大口径広角ズームレンズ、誕生。"
"24-70mm F2.8 DG OS HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_24_70_28/","あらゆるシーンに対応する 大口径標準ズームレンズの決定版"
"24-105mm F4 DG OS HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_24_105_4/","デジタルカメラ高画素化にも十二分に応えうる描写力。 待望のフルサイズ対応高性能標準ズームレンズ、登場。"
"14mm F1.8 DG HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_14_18/","世界初・唯一､開放値F1.8の 超広角レンズ､誕生"
"20mm F1.4 DG HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_20_14/","世界初、開放F値1.4の フルサイズ用超広角レンズ、誕生。"
"24mm F1.4 DG HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_24_14/","開放F1.4。別次元の描写性能で切り拓く 大口径広角レンズの新たな地平。"
"28mm F1.4 DG HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_28_14/","単焦点広角ファン待望の28mm F1.4をArtラインで"
"35mm F1.4 DG HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_35_14/","開放値F1.4大口径広角レンズの革新的な解像美。 「フラッグシップ」にふさわしい最高レベルの描写性能。 別次元のクオリティを、あなたの眼と、手に。"
"40mm F1.4 DG HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_40_14/","最高レベルのクオリティを追求するクリエイターのために。 進化するArtラインの新たな1本"
"50mm F1.4 DG HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_50_14/","超高画素時代にふさわしい圧倒的な描画力。 大口径標準レンズの決定版、誕生。"
"70mm F2.8 DG MACRO","https://www.sigma-global.com/jp/lenses/cas/product/art/a_70_28/","圧倒的な解像感とヌケ感。最高の視覚体験。 待望の「カミソリマクロ」が、ついにArtラインから。"
"85mm F1.4 DG HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_85_14/","「85mmF1.4」の最高峰。 究極のポートレート用レンズ、満を持して登場。"
"105mm F1.4 DG HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_105_14/","解像力とボケ味にこだわり抜いた フルサイズ用Art F1.4シリーズ最長焦点距離の 「BOKEH-MASTER」、登場。"
"135mm F1.8 DG HSM","https://www.sigma-global.com/jp/lenses/cas/product/art/a_135_18/","開放値F1.8、フルサイズ対応の 「Artプライム」がさらに充実。"
"19mm F2.8 DN","https://www.sigma-global.com/jp/lenses/cas/product/art/a_19_28/","新しい時代の、新しいシステム。 ミラーレス専用レンズDNシリーズ、 シグマが提案する、あるべきかたち。"
"30mm F2.8 DN","https://www.sigma-global.com/jp/lenses/cas/product/art/a_30_28/","新しい時代の、新しいシステム。 ミラーレス専用レンズDNシリーズ、 シグマが提案する、あるべきかたち。"
"60mm F2.8 DN","https://www.sigma-global.com/jp/lenses/cas/product/art/a_60_28/","新しい時代の、新しいシステム。 ミラーレス専用レンズDNシリーズ、 シグマが提案する、あるべきかたち。"
"60-600mm F4.5-6.3 DG OS HSM","https://www.sigma-global.com/jp/lenses/cas/product/sports/s_60_600_45_63/","標準から超望遠までカバー 唯一無二のオールラウンダー"
